Source Type,Distribution,Amount
inflow,1Normal,-2672.0313829792703
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-117.83304816509172
outflow,1Cauchy,-14.941960874954534
outflow,1Cauchy,-10.831311544005736
outflow,1Cauchy,-9.601333846357278
outflow,1Cauchy,-9.329326744624879
inflow,1Normal,-1914.100018286075
inflow,1Normal,-749.4765061489513
outflow,1Cauchy,-39.179721126048705
outflow,1Cauchy,-14.611392712306868
outflow,1Cauchy,-13.765771457823728
outflow,1Cauchy,-10.044557404172709
inflow,1Normal,-1174.1712335747966
inflow,1Normal,-609.1437960860297
outflow,1Cauchy,-13.965473723239063
outflow,1Cauchy,-12.820642429472747
outflow,1Cauchy,-9.022521435393985
outflow,1Cauchy,-6.961582219478007
inflow,1Normal,-1681.4105258249142
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-69.42792667408533
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-11.39514133669601
outflow,1Cauchy,-10.53054176989321
outflow,1Cauchy,-9.768595198284146
inflow,1Normal,-1542.0627202152893
inflow,1Normal,-1012.7793796839079
outflow,1Cauchy,-13.22832576362198
outflow,1Cauchy,-10.89182309446735
outflow,1Cauchy,-10.422333755607113
outflow,1Cauchy,-6.597335168856616
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,2Poisson,-170
outflow,1Cauchy,-9.933884163748468
outflow,1Cauchy,-9.419839861844757
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-2382.552860502566
outflow,1Cauchy,-11.062783897401733
outflow,1Cauchy,-10.095823076237282
outflow,1Cauchy,-9.74666512542418
outflow,1Cauchy,-8.84398310507922
inflow,1Normal,-832.8295133498578
inflow,1Normal,-769.6983577527565
inflow,1Normal,-663.3982164709166
outflow,1Cauchy,-33.06958422022416
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-10.542767944885874
outflow,1Cauchy,-9.911128344842165
inflow,1Normal,-1627.0464387505715
inflow,1Normal,-646.6419475854182
outflow,2Poisson,-170
outflow,1Cauchy,-11.071995385407806
outflow,1Cauchy,-8.415832719515228
outflow,1Cauchy,-8.256237505523076
outflow,1Cauchy,-7.28269582030981
inflow,1Normal,-1245.6501595403975
inflow,1Normal,-902.3477003621007
outflow,2Poisson,-340
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-10.829944397790682
outflow,1Cauchy,-9.131197022280745
outflow,1Cauchy,-7.430284120495399
outflow,1Cauchy,-6.0849816006062
inflow,1Normal,-1086.747374230454
inflow,1Normal,-1077.853038570317
inflow,1Normal,-795.046430026559
outflow,1Cauchy,-16.328674933464338
outflow,1Cauchy,-12.321576339388328
outflow,1Cauchy,-8.42202803870004
outflow,1Cauchy,-6.2967723333475005
inflow,1Normal,-2884.227701728748
inflow,1Normal,-950.0161027682954
outflow,1Cauchy,-15.022219387979364
outflow,1Cauchy,-11.487320727546534
outflow,1Cauchy,-10.818324175165612
outflow,1Cauchy,-9.423865770433741
inflow,1Normal,-1115.9655987251365
inflow,1Normal,-716.7734111808063
outflow,2Poisson,-680
outflow,1Cauchy,-11.778599780692925
outflow,1Cauchy,-11.363239995681315
outflow,1Cauchy,-10.316865893136299
outflow,1Cauchy,-10.288053793598504
inflow,1Normal,-1183.806076928936
inflow,1Normal,-915.3507545631054
inflow,1Normal,-366.63660098424486
outflow,2Poisson,-170
outflow,1Cauchy,-37.91982391141888
outflow,1Cauchy,-27.621242824856903
outflow,1Cauchy,-13.267183887494873
outflow,1Cauchy,-6.630905537286726
inflow,1Normal,-2348.589737707544
inflow,1Normal,-733.7544091083838
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-9.571208892110738
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-2258.6937802808775
inflow,1Normal,-1236.6449424418267
inflow,1Normal,-629.8419171314872
outflow,2Poisson,-170
outflow,1Cauchy,-28.13613214917999
outflow,1Cauchy,-19.719620550179535
outflow,1Cauchy,-11.103937300311348
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-2101.0666031245755
inflow,1Normal,-2026.7993947465457
outflow,2Poisson,-340
inflow,1Normal,-212.3363119533316
outflow,1Cauchy,-23.725933064880316
outflow,1Cauchy,-14.164768832849463
outflow,1Cauchy,-7.104799527169628
inflow,1Normal,-1986.056630115045
inflow,1Normal,-781.7513630786749
outflow,2Poisson,-170
outflow,1Cauchy,-24.76482908066036
outflow,1Cauchy,-20.2298320047381
outflow,1Cauchy,-13.279336951023344
outflow,1Cauchy,-9.14835135517647
inflow,1Normal,-2448.2555142383276
inflow,1Normal,-899.8985785652937
inflow,1Normal,-90.86941966374837
outflow,1Cauchy,-11.944322996717814
outflow,1Cauchy,-10.66668711648948
outflow,1Cauchy,-9.768422700156256
