Source Type,Distribution,Amount
inflow,1Normal,-1681.4105258249142
inflow,1Normal,-811.0915497741413
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-69.42792667408533
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-11.39514133669601
outflow,1Cauchy,-10.53054176989321
outflow,1Cauchy,-10.211889864779145
outflow,1Cauchy,-9.768595198284146
outflow,1Cauchy,-7.69735384652679
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-10.154861748623201
outflow,1Cauchy,-9.933884163748468
outflow,1Cauchy,-9.419839861844757
outflow,1Cauchy,-9.046217091477537
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-2772.8563265610846
inflow,1Normal,-847.2996609831717
inflow,1Normal,-715.5835324315849
outflow,2Poisson,-170
outflow,1Cauchy,-14.691924157083028
outflow,1Cauchy,-12.431073144599036
outflow,1Cauchy,-9.538704718790699
outflow,1Cauchy,-7.961437268384222
outflow,1Cauchy,-6.753404516636845
inflow,1Normal,-832.8295133498578
inflow,1Normal,-769.6983577527565
inflow,1Normal,-663.3982164709166
outflow,1Cauchy,-33.06958422022416
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-13.055208786112676
outflow,1Cauchy,-10.542767944885874
outflow,1Cauchy,-10.295593536895492
outflow,1Cauchy,-9.911128344842165
inflow,1Normal,-1987.3707674149755
inflow,1Normal,-1283.197589986667
inflow,1Normal,-848.0092080522354
outflow,1Cauchy,-13.312134499156992
outflow,1Cauchy,-12.381302015977244
outflow,1Cauchy,-7.422019841985634
outflow,1Cauchy,-5.584084950070728
outflow,1Cauchy,-1.5174812107789304
inflow,1Normal,-1263.4153798335358
inflow,1Normal,-880.1840949567602
outflow,2Poisson,-340
inflow,1Normal,-284.1941358742389
outflow,2Poisson,-170
outflow,1Cauchy,-11.46476453651894
outflow,1Cauchy,-11.46353847578137
outflow,1Cauchy,-11.027801518325305
outflow,1Cauchy,-9.621102378526116
outflow,1Cauchy,-9.499753599212479
outflow,1Cauchy,-8.850813730775883
inflow,1Normal,-1143.2734722271769
inflow,1Normal,-696.7044691268825
inflow,1Normal,-560.4877677924488
inflow,1Normal,-554.3351252813853
outflow,1Cauchy,-433.5938897957892
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-12.54288729404455
outflow,1Cauchy,-10.332179854670581
outflow,1Cauchy,-9.987297319181001
outflow,1Cauchy,-9.726199382555478
outflow,1Cauchy,-4.579371622756384
inflow,1Normal,-2348.589737707544
inflow,1Normal,-1278.6504088592064
inflow,1Normal,-733.7544091083838
inflow,1Normal,-381.6885446883131
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-16.62495554632666
outflow,1Cauchy,-14.595320110340188
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-9.571208892110738
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-2258.6937802808775
inflow,1Normal,-1236.6449424418267
inflow,1Normal,-629.8419171314872
inflow,1Normal,-197.60322413940406
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-166.78817251228077
outflow,1Cauchy,-28.13613214917999
outflow,1Cauchy,-19.719620550179535
outflow,1Cauchy,-11.73484397529102
outflow,1Cauchy,-11.17042199288787
outflow,1Cauchy,-11.103937300311348
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-2910.103842510618
inflow,1Normal,-2050.0400610186384
inflow,1Normal,-519.0067750112206
inflow,1Normal,-313.0828878343898
outflow,1Cauchy,-18.352807277270493
outflow,1Cauchy,-15.271666435678833
outflow,1Cauchy,-10.217936248251089
outflow,1Cauchy,-8.351369703710997
outflow,1Cauchy,-6.081024005087269
inflow,1Normal,-2942.478381904252
inflow,1Normal,-285.75387486669257
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-83.55582200521212
outflow,1Cauchy,-14.024263119107992
outflow,1Cauchy,-10.765571972056396
outflow,1Cauchy,-10.440549251637174
outflow,1Cauchy,-10.061639502141809
outflow,1Cauchy,-8.908915529332376
outflow,1Cauchy,-5.459601140854344
outflow,1Cauchy,-5784.945921481289
inflow,1Normal,-1258.0725891106
inflow,1Normal,-845.3478445686645
inflow,1Normal,-251.5336632021967
outflow,2Poisson,-170
outflow,1Cauchy,-15.934396438175504
outflow,1Cauchy,-12.628802724989534
outflow,1Cauchy,-11.258111560079938
outflow,1Cauchy,-10.398963034910157
outflow,1Cauchy,-2.532602737410798
inflow,1Normal,-1424.925189061748
inflow,1Normal,-1002.1584089167302
inflow,1Normal,-515.8867570674861
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-13.474031487689002
outflow,1Cauchy,-12.916810821332252
