Source Type,Distribution,Amount
outflow,2Poisson,-340
outflow,1Cauchy,-24.380679801873846
inflow,1Normal,-636.7527922675322
outflow,1Cauchy,-12.774128817163291
inflow,1Normal,-377.16664114813165
outflow,1Cauchy,-11.723480508370079
inflow,1Normal,-368.78035250928
outflow,2Poisson,-170
outflow,1Cauchy,-11.53787826191344
inflow,1Normal,-107.73139739266924
outflow,1Cauchy,-8.640089348572161
inflow,1Normal,-1030.1146344306314
outflow,1Cauchy,-4.612499635517415
inflow,1Normal,-2650.3361464591385
outflow,2Poisson,-170
outflow,1Cauchy,-10.726483846346255
inflow,1Normal,-901.008841524315
outflow,1Cauchy,-8.802514937859065
inflow,1Normal,-136.66679887799268
outflow,1Cauchy,-12.841246304443521
inflow,1Normal,-74.84585867730758
outflow,1Cauchy,-10.710243894844709
inflow,1Normal,-206.06633077805049
outflow,1Cauchy,-13.413329719469722
inflow,1Normal,-613.5547263247101
outflow,2Poisson,-170
outflow,1Cauchy,-11.161799273775273
inflow,1Normal,-941.1376508468092
outflow,1Cauchy,-16.496498160270214
outflow,2Poisson,-170
inflow,1Normal,-136.38737900845825
outflow,1Cauchy,-12.404339677619763
inflow,1Normal,-1298.0655949930665
outflow,1Cauchy,-12.541959700665988
inflow,1Normal,-2352.358942360584
outflow,1Cauchy,-13.15993221600603
inflow,1Normal,-1630.4192899551474
inflow,1Normal,-765.3001173545356
outflow,1Cauchy,-12.82345705343925
inflow,1Normal,-584.7412298974231
outflow,2Poisson,-170
outflow,1Cauchy,-10.808886872471687
inflow,1Normal,-153.06630332570563
outflow,1Cauchy,-7.7612099472157094
inflow,1Normal,-46.27359260460722
outflow,1Cauchy,-7.668834426835152
inflow,1Normal,-642.1277036533202
outflow,1Cauchy,-12.33101524694106
outflow,2Poisson,-340
outflow,1Cauchy,-8.675426943317069
inflow,1Normal,-1211.1968446600717
outflow,2Poisson,-170
outflow,1Cauchy,-10.017289363768283
inflow,1Normal,-605.7298210501333
inflow,1Normal,-1189.045135152558
outflow,1Cauchy,-17.421335687713686
inflow,1Normal,-748.2903080026883
outflow,2Poisson,-170
outflow,1Cauchy,-37.36552591178423
inflow,1Normal,-337.62377706315016
outflow,1Cauchy,-7.410808839648611
inflow,1Normal,-1646.820718820551
outflow,1Cauchy,-0.3438188208798767
inflow,1Normal,-1499.3992298930834
outflow,2Poisson,-340
outflow,1Cauchy,-8.761770000301388
inflow,1Normal,-1236.1296936292717
inflow,1Normal,-1293.647168046687
outflow,1Cauchy,-10.146931650091945
inflow,1Normal,-440.9949904885792
outflow,2Poisson,-340
outflow,1Cauchy,-12.1416041631511
inflow,1Normal,-1455.6790709975576
outflow,2Poisson,-170
outflow,1Cauchy,-8.57877884555261
inflow,1Normal,-178.79376695651956
outflow,1Cauchy,-9.48980571403459
inflow,1Normal,-2423.068735883397
outflow,1Cauchy,-11.020488470211822
inflow,1Normal,-151.12738178407668
outflow,1Cauchy,-8.051245352849236
inflow,1Normal,-783.5806489970811
outflow,2Poisson,-170
outflow,1Cauchy,-8.471871351701168
inflow,1Normal,-740.461926937001
outflow,1Cauchy,-15.756883138402372
inflow,1Normal,-895.2241385861398
outflow,2Poisson,-170
outflow,1Cauchy,-8.304827132806793
outflow,2Poisson,-170
outflow,1Cauchy,-6.177957292826831
inflow,1Normal,-666.9354426004762
outflow,1Cauchy,-10.45600813768745
inflow,1Normal,-756.741671163202
outflow,1Cauchy,-25.476251093620824
inflow,1Normal,-673.6212730271732
outflow,1Cauchy,-10.317586776745387
outflow,2Poisson,-170
outflow,1Cauchy,-10.023303944147033
inflow,1Normal,-1062.8149494646912
outflow,2Poisson,-170
inflow,1Normal,-381.578778356694
outflow,2Poisson,-170
inflow,1Normal,-2465.587602575325
outflow,1Cauchy,-2.99600128698647
inflow,1Normal,-1456.443205290718
outflow,1Cauchy,-15.577886953710738
inflow,1Normal,-1589.816600725897
outflow,1Cauchy,-10.195180718097708
inflow,1Normal,-272.28791647169004
outflow,1Cauchy,-15.96975445810589
inflow,1Normal,-2756.203663701973
outflow,1Cauchy,-10.655334714701757
inflow,1Normal,-1279.3179871181146
outflow,1Cauchy,-9.284326042991522
inflow,1Normal,-1021.7369206918149
outflow,1Cauchy,-11.956189610748702
outflow,2Poisson,-170
outflow,1Cauchy,-17.413411424837513
inflow,1Normal,-3.5626422900930876
inflow,1Normal,-292.63967966415976
outflow,1Cauchy,-8.67452240819877
inflow,1Normal,-14.510987192961267
outflow,1Cauchy,-7.885062128528466
inflow,1Normal,-1771.996397706957
outflow,1Cauchy,-1.4891966147023208
inflow,1Normal,-558.8208724472316
outflow,1Cauchy,-11.094503557905819
inflow,1Normal,-1050.3628452153546
outflow,1Cauchy,-15.42241038984406
inflow,1Normal,-611.3883194352152
outflow,2Poisson,-340
outflow,1Cauchy,-6.7613927098685265
inflow,1Normal,-948.0750889174395
outflow,2Poisson,-170
outflow,1Cauchy,-2.8747969609685367
inflow,1Normal,-341.70604348710503
outflow,1Cauchy,-11.44611736990561
inflow,1Normal,-566.8491776429214
outflow,1Cauchy,-8.703020316949699
inflow,1Normal,-929.2303657947386
outflow,2Poisson,-170
outflow,1Cauchy,-10.955662736988923
inflow,1Normal,-171.91033961669467
outflow,1Cauchy,-6.792359848253117
inflow,1Normal,-363.57978969023213
outflow,1Cauchy,-3.9571952288738723
outflow,2Poisson,-170
outflow,1Cauchy,-23.308681886849236
inflow,1Normal,-1149.2279621363505
outflow,1Cauchy,-13.64451320400315
inflow,1Normal,-1390.8421787895622
outflow,2Poisson,-170
outflow,1Cauchy,-12.415381943894124
inflow,1Normal,-555.8597522867167
outflow,1Cauchy,-8.529774222578277
outflow,1Cauchy,-10.384968792264397
inflow,1Normal,-200.53741309952713
outflow,1Cauchy,-10.021708254564144
inflow,1Normal,-470.4797781283638
outflow,1Cauchy,-9.095481113811854
inflow,1Normal,-213.22086621342999
outflow,1Cauchy,-13.149677639510246
inflow,1Normal,-1521.147046800365
outflow,2Poisson,-170
outflow,1Cauchy,-10.006448121584805
inflow,1Normal,-805.599106460474
outflow,1Cauchy,-86.28976062774792
inflow,1Normal,-77.7792790103513
outflow,1Cauchy,-6.289343796687033
inflow,1Normal,-1563.3524451885105
outflow,1Cauchy,-2.9252308120565917
inflow,1Normal,-775.3652271003659
outflow,1Cauchy,-41.70770291936854
inflow,1Normal,-685.8790073002261
outflow,1Cauchy,-13.03595583733914
inflow,1Normal,-555.6468235266806
outflow,2Poisson,-170
outflow,1Cauchy,-33.25303603430238
inflow,1Normal,-450.3006532103793
outflow,1Cauchy,-10.67886294636034
inflow,1Normal,-599.8165963414898
outflow,1Cauchy,-2.436419982566317
outflow,2Poisson,-170
inflow,1Normal,-54.98423687115377
outflow,1Cauchy,-10.688298955387813
inflow,1Normal,-1243.6973135906171
outflow,1Cauchy,-5.2052459937976625
inflow,1Normal,-848.5324921842341
outflow,1Cauchy,-6.4917243418808965
inflow,1Normal,-1457.6281751313136
outflow,1Cauchy,-9.354429310270522
inflow,1Normal,-44.06450058193059
outflow,1Cauchy,-9.38339439069001
inflow,1Normal,-765.5620957356415
outflow,2Poisson,-170
outflow,1Cauchy,-68.37724024260606
inflow,1Normal,-1339.5102618670055
outflow,1Cauchy,-12.658372633904621
inflow,1Normal,-979.1065576617019
outflow,2Poisson,-170
outflow,1Cauchy,-13.910009426179784
inflow,1Normal,-1294.5617558267386
outflow,1Cauchy,-3.4759028774874823
inflow,1Normal,-2407.4911630832994
outflow,2Poisson,-170
outflow,1Cauchy,-8.826200949426875
inflow,1Normal,-1050.90537458214
outflow,1Cauchy,-11.449106150414753
inflow,1Normal,-566.5522118798024
inflow,1Normal,-1117.1783734711794
outflow,2Poisson,-170
outflow,1Cauchy,-11.082019188418396
inflow,1Normal,-239.69944913870938
outflow,1Cauchy,-8.929628674178414
inflow,1Normal,-409.01805858088807
outflow,2Poisson,-170
outflow,1Cauchy,-10.587073716024214
inflow,1Normal,-943.7473550207304
outflow,2Poisson,-170
outflow,1Cauchy,-8.844595737665403
inflow,1Normal,-335.8861433881952
outflow,2Poisson,-170
outflow,1Cauchy,-9.333464956507964
inflow,1Normal,-494.9691216083625
outflow,1Cauchy,-11.256243408287187
inflow,1Normal,-1169.541738031044
outflow,1Cauchy,-10.399859279009894
inflow,1Normal,-182.28481375848062
outflow,1Cauchy,-14.993309119646852
inflow,1Normal,-155.46742560371172
outflow,1Cauchy,-18.590942138626325
outflow,2Poisson,-170
inflow,1Normal,-114.10565366067118
outflow,1Cauchy,-15.348391990890391
outflow,2Poisson,-170
inflow,1Normal,-487.6061140027325
outflow,1Cauchy,-13.250139446629031
inflow,1Normal,-868.9488848817891
outflow,1Cauchy,-11.206483173626346
inflow,1Normal,-310.9649365029718
outflow,1Cauchy,-17.39859606588777
inflow,1Normal,-792.8244657960736
outflow,1Cauchy,-10.35184242072148
inflow,1Normal,-862.2591736450485
outflow,1Cauchy,-11.336040114498626
inflow,1Normal,-1067.708433806268
outflow,1Cauchy,-16.946147469339753inflow,1Normal,-85.88218526206575
outflow,1Cauchy,-6.141517628839948
inflow,1Normal,-2598.6760937278136
outflow,1Cauchy,-10.591677279161784
outflow,2Poisson,-170
inflow,1Normal,-74.60173940901598
outflow,1Cauchy,-1.8930104323065855
inflow,1Normal,-188.44819759286224
outflow,1Cauchy,-10.41319396689768
inflow,1Normal,-2019.2878219818567
outflow,1Cauchy,-9.999167188356836
inflow,1Normal,-481.9823638544921
outflow,1Cauchy,-9.031086343220975
inflow,1Normal,-322.70661207055264
outflow,1Cauchy,-5.840377909342646
inflow,1Normal,-1202.1435977816072
outflow,1Cauchy,-9.068075134597805
inflow,1Normal,-833.5824273716753
outflow,1Cauchy,-10.393486006109814
inflow,1Normal,-74.8279144603952
outflow,2Poisson,-170
inflow,1Normal,-18.09411875140494
inflow,1Normal,-495.3484815222151
outflow,2Poisson,-170
outflow,1Cauchy,-8.377999784352243
inflow,1Normal,-354.61136812042076
outflow,1Cauchy,-11.159758843273174
inflow,1Normal,-1520.455565699718
outflow,1Cauchy,-15.811497453268194
inflow,1Normal,-200.05262247448564
inflow,1Normal,-1338.0137582835662
outflow,1Cauchy,-8.702563962957901
inflow,1Normal,-378.0797793161156
outflow,1Cauchy,-13.3719645357423
inflow,1Normal,-237.55067784021657
outflow,1Cauchy,-9.050658800547726
inflow,1Normal,-570.1675263890334
outflow,1Cauchy,-6.523586371940922
inflow,1Normal,-151.2106376605594
outflow,1Cauchy,-7.143476479181897
outflow,2Poisson,-170
outflow,1Cauchy,-11.201853266570456
inflow,1Normal,-208.8513556862228
outflow,2Poisson,-170
outflow,1Cauchy,-6.8597177496613995
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-475.0154895530869
inflow,1Normal,-1145.0586614540516
outflow,2Poisson,-170
outflow,1Cauchy,-10.583595121854392
inflow,1Normal,-350.5486479367011
outflow,2Poisson,-170
outflow,1Cauchy,-10.48502660656175
inflow,1Normal,-832.8295133498578
outflow,1Cauchy,-10.542767944885874
inflow,1Normal,-939.8801237337686
outflow,1Cauchy,-11.560957568281403
inflow,1Normal,-1166.754910439635
outflow,1Cauchy,-9.2224700508535
outflow,2Poisson,-170
outflow,1Cauchy,-6.506432079133591
inflow,1Normal,-311.0175389320666
outflow,1Cauchy,-14.634628468104289
inflow,1Normal,-116.59246529558409
outflow,1Cauchy,-6.226282399150737
inflow,1Normal,-1929.6901219951365
outflow,2Poisson,-170
inflow,1Normal,-646.6419475854182
outflow,1Cauchy,-8.415832719515228
inflow,1Normal,-1586.3314895831124
outflow,2Poisson,-170
outflow,1Cauchy,-8.85258627267767
inflow,1Normal,-902.3477003621007
outflow,2Poisson,-170
outflow,1Cauchy,-10.829944397790682
inflow,1Normal,-1166.2823280649775
outflow,1Cauchy,-19.817440488680703
inflow,1Normal,-1283.197589986667
outflow,1Cauchy,-12.381302015977244
inflow,1Normal,-238.78269393575735
outflow,1Cauchy,-6.604568712561842
inflow,1Normal,-1520.0758955230426
outflow,2Poisson,-170
outflow,1Cauchy,-6.700876212747703
outflow,1Cauchy,-9.928369032989393
inflow,1Normal,-8.349814414317258
inflow,1Normal,-2436.5033507032977
outflow,1Cauchy,-14.575702016911379
inflow,1Normal,-29.35060317111553
outflow,1Cauchy,-12.932339483069201
inflow,1Normal,-1687.7951043978176
outflow,1Cauchy,-10.478304066557362
inflow,1Normal,-131.3963853664273
outflow,1Cauchy,-6.304328305740444
outflow,2Poisson,-170
outflow,1Cauchy,-9.918883218208462
inflow,1Normal,-331.7707276894421
outflow,1Cauchy,-9.745749090232199
inflow,1Normal,-600.8365830407708
outflow,1Cauchy,-9.374585243360807
inflow,1Normal,-1086.747374230454
outflow,1Cauchy,-16.328674933464338
outflow,1Cauchy,-186.440925187081
inflow,1Normal,-1514.6983541119298
outflow,1Cauchy,-11.053650268186702
outflow,2Poisson,-170
inflow,1Normal,-130.80196487720917
inflow,1Normal,-918.3619474072653
outflow,1Cauchy,-11.848994383231556
inflow,1Normal,-45.28328841902027
outflow,1Cauchy,-9.084772644722404
inflow,1Normal,-637.2174641672754
outflow,1Cauchy,-10.291899496594382
outflow,2Poisson,-170
outflow,1Cauchy,-37.57369846039296
inflow,1Normal,-217.70801371125543
outflow,2Poisson,-170
outflow,1Cauchy,-9.927709638455056
inflow,1Normal,-400.7028284181487
outflow,2Poisson,-170
outflow,1Cauchy,-10.65552824052452
inflow,1Normal,-272.07872633611316
outflow,2Poisson,-170
outflow,1Cauchy,-4.825276064735567
inflow,1Normal,-328.240248191479
outflow,1Cauchy,-12.003479689541164
outflow,2Poisson,-170
outflow,1Cauchy,-9.423606337762834
inflow,1Normal,-1447.235531120151
outflow,1Cauchy,-12.357138013246633
inflow,1Normal,-621.0089388151413
outflow,1Cauchy,-13.042123055052535
inflow,1Normal,-1352.2273062581658
outflow,1Cauchy,-1.240689841157156
inflow,1Normal,-560.4877677924488
outflow,1Cauchy,-433.5938897957892
inflow,1Normal,-894.1032338031199
outflow,2Poisson,-170
outflow,1Cauchy,-12.933742066805635
inflow,1Normal,-1261.723420273319
outflow,1Cauchy,-16.419893523442614
inflow,1Normal,-683.0891984717965
outflow,1Cauchy,-1.7594325322842739
inflow,1Normal,-781.5037720024716
outflow,1Cauchy,-15.565305140428897
outflow,2Poisson,-170
outflow,1Cauchy,-10.264530157412647
inflow,1Normal,-749.2777984511026
outflow,2Poisson,-170
outflow,1Cauchy,-10.676130621991575
inflow,1Normal,-563.2623823623138
inflow,1Normal,-710.338755025531
inflow,1Normal,-445.43003440609755
outflow,2Poisson,-170
outflow,1Cauchy,-11.138934910380597
inflow,1Normal,-257.3998979792524
outflow,1Cauchy,-11.126916182324258
inflow,1Normal,-1817.3258933041873
outflow,1Cauchy,-10.606969498067118
outflow,2Poisson,-170
inflow,1Normal,-112.91299896953042
outflow,1Cauchy,-8.67068087418695
inflow,1Normal,-1368.9976809060618
outflow,1Cauchy,-5.414741827477223
inflow,1Normal,-744.8663486269809
outflow,1Cauchy,-8.192168986246488
inflow,1Normal,-589.9656552468009
outflow,1Cauchy,-8.934466216298866
inflow,1Normal,-1917.7161061846177
outflow,1Cauchy,-19.554296775903474
inflow,1Normal,-733.7544091083838
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-794.5718275512629
outflow,1Cauchy,-9.140311578005083
inflow,1Normal,-343.059885177609
outflow,2Poisson,-170
outflow,1Cauchy,-11.58000262791176
inflow,1Normal,-629.8419171314872
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-975.2638548174872
outflow,1Cauchy,-9.361864802411986
inflow,1Normal,-639.9718223365387
outflow,1Cauchy,-65.05890518151703
inflow,1Normal,-595.21999496951
outflow,2Poisson,-170
outflow,1Cauchy,-12.389102831311378
inflow,1Normal,-1234.4633617973552
outflow,1Cauchy,-8.293509024134616
outflow,2Poisson,-170
inflow,1Normal,-13.841314480838207
outflow,1Cauchy,-10.49269548272321
inflow,1Normal,-698.1521827336657
outflow,1Cauchy,-6.205131968245338
inflow,1Normal,-1407.300776668502
outflow,1Cauchy,-14.326193090621612
inflow,1Normal,-915.7185045503998
inflow,1Normal,-2101.0666031245755
outflow,1Cauchy,-23.725933064880316
inflow,1Normal,-523.4349812613018
outflow,1Cauchy,-12.456247183498048
inflow,1Normal,-416.53573316147254
outflow,1Cauchy,-11.519239075808942
inflow,1Normal,-51.044304234881466
outflow,1Cauchy,-5.352940717039226
inflow,1Normal,-2361.9324603579144
outflow,1Cauchy,-9.729503972420027
inflow,1Normal,-530.7980967148609
outflow,1Cauchy,-13.335993640839868
inflow,1Normal,-1636.1399086722151
outflow,1Cauchy,-11.167268370829209
outflow,2Poisson,-170
inflow,1Normal,-79.00311202360015
outflow,1Cauchy,-27.66313310099787
inflow,1Normal,-1269.5829935028123
outflow,1Cauchy,-5.614613056148214
inflow,1Normal,-1306.5250177606445
outflow,2Poisson,-170
outflow,1Cauchy,-12.000636926131047
inflow,1Normal,-1621.2942343407406
outflow,1Cauchy,-10.02306494286654
inflow,1Normal,-1339.967177829663
outflow,1Cauchy,-9.458453139505254
inflow,1Normal,-740.6246668670917
outflow,2Poisson,-170
outflow,1Cauchy,-30.482921405931826
inflow,1Normal,-462.62746436306725
outflow,1Cauchy,-27.078582559552785
inflow,1Normal,-534.8055088256309
outflow,1Cauchy,-15.901887611309576
inflow,1Normal,-1978.3253712920932
outflow,1Cauchy,-2.979086665709114
inflow,1Normal,-1119.3332625201801
outflow,1Cauchy,-10.29410472112329
inflow,1Normal,-170.8332285646694
inflow,1Normal,-802.1941395628811
outflow,1Cauchy,-10.57778741819479
inflow,1Normal,-53.75407061203852
outflow,1Cauchy,-14.010503463308684
inflow,1Normal,-395.8776226064952
outflow,1Cauchy,-11.127453616849767
inflow,1Normal,-801.8677416610227
outflow,1Cauchy,-5.8905914081450055
inflow,1Normal,-877.3076719957189
outflow,1Cauchy,-6.5354187210602905
inflow,1Normal,-970.9022569033284
outflow,1Cauchy,-7.38804129647861
inflinflow,1Normal,-393.14818815812595
outflow,1Cauchy,-4.907405716934329
inflow,1Normal,-460.33050406196026
outflow,1Cauchy,-12.534119483717806
inflow,1Normal,-1970.6346375678684
outflow,1Cauchy,-8.811452810674426
inflow,1Normal,-192.23109853161304
outflow,1Cauchy,-10.464706720261391
inflow,1Normal,-1363.4452041559416
outflow,2Poisson,-170
outflow,1Cauchy,-6.5271626817508945
outflow,2Poisson,-170
inflow,1Normal,-78.64360665828994
outflow,1Cauchy,-8.95252824712639
inflow,1Normal,-321.03853744659716
outflow,1Cauchy,-10.721626726301075
inflow,1Normal,-360.29559979286034
outflow,2Poisson,-170
inflow,1Normal,-589.828484133124
outflow,2Poisson,-170
outflow,1Cauchy,-7.642326047380472
outflow,1Cauchy,-260.18628030670686
inflow,1Normal,-925.0771343016414
outflow,1Cauchy,-6.207396971676337
inflow,1Normal,-71.10489126655395
outflow,1Cauchy,-11.53472007896838
inflow,1Normal,-997.7269338973432
outflow,1Cauchy,-8.458502104653313
outflow,2Poisson,-170
inflow,1Normal,-119.02707278787261
outflow,1Cauchy,-5.045121217080038
inflow,1Normal,-730.6399182703224
outflow,1Cauchy,-10.116520694109411
inflow,1Normal,-396.5416440541876
outflow,1Cauchy,-9.335747926767171
inflow,1Normal,-1696.5830272164744
outflow,1Cauchy,-10.411581912665277
inflow,1Normal,-132.45504853332795
outflow,1Cauchy,-9.735114366809256
inflow,1Normal,-1233.4196094404924
outflow,1Cauchy,-10.222816719626127
inflow,1Normal,-944.9041296305566
outflow,2Poisson,-170
inflow,1Normal,-234.26205278852592
inflow,1Normal,-1254.673210338223
outflow,1Cauchy,-5.231194587373275
inflow,1Normal,-1628.715217727081
