Source Type,Distribution,Amount
inflow,1Normal,-2598.6760937278136
inflow,1Normal,-569.503082260464
outflow,1Cauchy,-10.919826179007897
outflow,1Cauchy,-10.686416475827395
outflow,1Cauchy,-10.591677279161784
inflow,1Normal,-2501.0163096775814
outflow,1Cauchy,-18.141264947226233
outflow,1Cauchy,-11.630404627813721
inflow,1Normal,-1174.1712335747966
inflow,1Normal,-609.1437960860297
outflow,1Cauchy,-13.965473723239063
outflow,1Cauchy,-9.022521435393985
outflow,1Cauchy,-6.961582219478007
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-69.42792667408533
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-10.53054176989321
outflow,1Cauchy,-9.768595198284146
inflow,1Normal,-1542.0627202152893
inflow,1Normal,-1012.7793796839079
outflow,1Cauchy,-10.89182309446735
outflow,1Cauchy,-10.422333755607113
outflow,1Cauchy,-6.597335168856616
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,1Cauchy,-9.419839861844757
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-967.7944139970552
outflow,2Poisson,-340
outflow,1Cauchy,-25.242114653928052
outflow,1Cauchy,-13.284040299058239
inflow,1Normal,-2185.9769948354624
outflow,1Cauchy,-18.248888510361386
outflow,1Cauchy,-9.91886956366186
outflow,1Cauchy,-4.846381667016371
inflow,1Normal,-2382.552860502566
outflow,1Cauchy,-11.062783897401733
outflow,1Cauchy,-10.095823076237282
outflow,1Cauchy,-9.74666512542418
inflow,1Normal,-832.8295133498578
inflow,1Normal,-663.3982164709166
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-10.542767944885874
outflow,1Cauchy,-9.911128344842165
inflow,1Normal,-2127.1273488152424
inflow,1Normal,-939.8801237337686
outflow,2Poisson,-170
outflow,1Cauchy,-11.560957568281403
outflow,1Cauchy,-2.055202358377189
inflow,1Normal,-1627.0464387505715
inflow,1Normal,-646.6419475854182
outflow,2Poisson,-170
outflow,1Cauchy,-11.071995385407806
outflow,1Cauchy,-8.415832719515228
outflow,1Cauchy,-8.256237505523076
inflow,1Normal,-1586.3314895831124
inflow,1Normal,-266.6988582186825
outflow,2Poisson,-170
outflow,1Cauchy,-9.491358948958286
outflow,1Cauchy,-8.85258627267767
inflow,1Normal,-1245.6501595403975
inflow,1Normal,-902.3477003621007
outflow,2Poisson,-340
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-10.829944397790682
outflow,1Cauchy,-7.430284120495399
outflow,1Cauchy,-6.0849816006062
inflow,1Normal,-400.7028284181487
outflow,2Poisson,-170
inflow,1Normal,-52.62599050819077
outflow,1Cauchy,-10.65552824052452
outflow,1Cauchy,-10.580862302908889
outflow,1Cauchy,-8.723216651949214
inflow,1Normal,-1115.9655987251365
inflow,1Normal,-716.7734111808063
outflow,1Cauchy,-11.778599780692925
outflow,1Cauchy,-11.363239995681315
outflow,1Cauchy,-10.316865893136299
inflow,1Normal,-560.4877677924488
inflow,1Normal,-554.3351252813853
outflow,1Cauchy,-433.5938897957892
outflow,2Poisson,-170
outflow,1Cauchy,-10.332179854670581
outflow,1Cauchy,-9.987297319181001
inflow,1Normal,-667.0421608175865
inflow,1Normal,-563.2623823623138
outflow,1Cauchy,-7.559460569779056
inflow,1Normal,-2348.589737707544
inflow,1Normal,-733.7544091083838
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-2258.6937802808775
inflow,1Normal,-1236.6449424418267
inflow,1Normal,-629.8419171314872
outflow,2Poisson,-170
outflow,1Cauchy,-19.719620550179535
outflow,1Cauchy,-11.103937300311348
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-2101.0666031245755
inflow,1Normal,-2026.7993947465457
outflow,2Poisson,-340
outflow,1Cauchy,-23.725933064880316
outflow,1Cauchy,-14.164768832849463
outflow,1Cauchy,-7.104799527169628
inflow,1Normal,-1826.4446835279941
outflow,2Poisson,-170
outflow,1Cauchy,-11.28321543335175
outflow,1Cauchy,-10.688040971217365
outflow,1Cauchy,-9.86270367006076
inflow,1Normal,-2258.2459055466684
outflow,2Poisson,-340
inflow,1Normal,-51.044304234881466
outflow,1Cauchy,-9.828532713931978
outflow,1Cauchy,-9.037636666009057
outflow,1Cauchy,-5.352940717039226
inflow,1Normal,-1693.1679360112405
inflow,1Normal,-433.39573911461747
outflow,2Poisson,-340
outflow,2Poisson,-170
outflow,1Cauchy,-17.31287904001549
outflow,1Cauchy,-11.507503190478827
outflow,1Cauchy,-7.863196532692655
inflow,1Normal,-1306.5250177606445
inflow,1Normal,-195.62370097905165
outflow,2Poisson,-170
outflow,1Cauchy,-12.000636926131047
outflow,1Cauchy,-8.298425549711208
outflow,1Cauchy,-8.13339242853451
inflow,1Normal,-740.6246668670917
inflow,1Normal,-421.6218359386346
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-114.65373734165759
outflow,1Cauchy,-30.482921405931826
inflow,1Normal,-16.22583737682124
outflow,1Cauchy,-8.490144963131824
inflow,1Normal,-1019.0183487376664
outflow,2Poisson,-340
outflow,1Cauchy,-52.952387752937355
outflow,1Cauchy,-11.96941576146562
outflow,1Cauchy,-5.4357975182819045
inflow,1Normal,-1533.6362271722883
inflow,1Normal,-1177.7721457990126
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-12.866529537479984
outflow,1Cauchy,-6.122005243287754
outflow,1Cauchy,-3.750799181402817
inflow,1Normal,-807.6942530350866
inflow,1Normal,-774.7153542130825
outflow,2Poisson,-170
outflow,1Cauchy,-11.889016793098522
outflow,1Cauchy,-9.35625679959994
inflow,1Normal,-1099.4949697769925
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-126.22835849957177
outflow,1Cauchy,-14.688299246044092
outflow,1Cauchy,-11.445649032491305
outflow,1Cauchy,-9.234942545583595
inflow,1Normal,-1080.9739102223589
inflow,1Normal,-686.7126701722511
outflow,2Poisson,-170
outflow,1Cauchy,-7.027815102718689
outflow,1Cauchy,-5.419203094914068
inflow,1Normal,-601.7975748463837
outflow,2Poisson,-340
outflow,1Cauchy,-9.259967114763663
outflow,1Cauchy,-7.923772707960427
inflow,1Normal,-3848.1156206997157
inflow,1Normal,-1365.8747898285071
outflow,2Poisson,-170
outflow,1Cauchy,-17.90537881800229
outflow,1Cauchy,-14.947349653487478
outflow,1Cauchy,-2.7823360122856524
inflow,1Normal,-1056.419102845092
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-12.728122264609976
outflow,1Cauchy,-10.04323762913628
inflow,1Normal,-967.4276656627299
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-103.37307130256289
outflow,1Cauchy,-8.848836609220157
outflow,1Cauchy,-5.350032985275659
inflow,1Normal,-1503.1269089198438
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-17.963308190414654
outflow,1Cauchy,-11.434643798356781
inflow,1Normal,-1601.4442726138057
outflow,2Poisson,-340
inflow,1Normal,-240.76055789434747
outflow,2Poisson,-170
outflow,1Cauchy,-17.74274859968251
outflow,1Cauchy,-13.701144194409336
outflow,1Cauchy,-2.7458478514596854
inflow,1Normal,-1050.9311051866798
outflow,2Poisson,-510
outflow,2Poisson,-170
outflow,1Cauchy,-10.425992489848605
outflow,1Cauchy,-9.951131941842519
outflow,1Cauchy,-7.55914229855988
inflow,1Normal,-594.1866918818281
outflow,2Poisson,-170
outflow,1Cauchy,-7.731797434313107
outflow,1Cauchy,-3.8296815341520496
outflow,1Cauchy,-2.843907858159133
inflow,1Normal,-1325.4210291392149
outflow,2Poisson,-170
outflow,1Cauchy,-15.615364838827942
outflow,1Cauchy,-13.462793138205823
inflow,1Normal,-10.987225169539983
inflow,1Normal,-1789.2045051886585
inflow,1Normal,-921.9958730023354
outflow,1Cauchy,-12.104648859864614
outflow,1Cauchy,-9.398993272820018
outflow,1Cauchy,-8.763147510854164
