Source Type,Distribution,Amount
inflow,1Normal,-1540.9185687686336
inflow,1Normal,-1045.3383902919138
inflow,1Normal,-354.61136812042076
outflow,2Poisson,-340
outflow,2Poisson,-340
inflow,1Normal,-271.815478692983
outflow,2Poisson,-170
outflow,1Cauchy,-12.568203897926638
outflow,1Cauchy,-12.005067940713323
outflow,1Cauchy,-11.882448763501598
outflow,1Cauchy,-11.324527435485749
outflow,1Cauchy,-11.159758843273174
outflow,1Cauchy,-10.170086966529947
outflow,1Cauchy,-7.4335601918129335
outflow,1Cauchy,-2.406690323764126
inflow,1Normal,-2348.589737707544
inflow,1Normal,-1278.6504088592064
inflow,1Normal,-733.7544091083838
inflow,1Normal,-381.6885446883131
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-30.75616617746581
outflow,1Cauchy,-16.62495554632666
outflow,1Cauchy,-14.595320110340188
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-9.571208892110738
outflow,1Cauchy,-8.849372789270323
outflow,1Cauchy,-8.749948809524378
inflow,1Normal,-2910.103842510618
inflow,1Normal,-2050.0400610186384
inflow,1Normal,-1473.3349897451326
inflow,1Normal,-519.0067750112206
inflow,1Normal,-363.50653065374274
inflow,1Normal,-313.0828878343898
outflow,1Cauchy,-18.352807277270493
outflow,1Cauchy,-15.271666435678833
outflow,1Cauchy,-11.63051424452704
outflow,1Cauchy,-10.217936248251089
outflow,1Cauchy,-9.981420549952569
outflow,1Cauchy,-8.351369703710997
outflow,1Cauchy,-6.081024005087269
outflow,1Cauchy,-5784.945921481289
inflow,1Normal,-1258.0725891106
inflow,1Normal,-845.3478445686645
inflow,1Normal,-251.5336632021967
outflow,2Poisson,-170
outflow,1Cauchy,-15.934396438175504
outflow,1Cauchy,-12.628802724989534
outflow,1Cauchy,-12.053532087315535
outflow,1Cauchy,-11.258111560079938
outflow,1Cauchy,-10.398963034910157
outflow,1Cauchy,-9.143937034267156
outflow,1Cauchy,-2.532602737410798
inflow,1Normal,-1353.708548616528
inflow,1Normal,-639.7710764714042
inflow,1Normal,-497.3103917538168
outflow,2Poisson,-340
inflow,1Normal,-207.96133324672434
inflow,1Normal,-188.16901461570944
outflow,1Cauchy,-125.43689578117494
outflow,1Cauchy,-12.74837793988951
outflow,1Cauchy,-11.27436712840435
outflow,1Cauchy,-11.040289444407433
outflow,1Cauchy,-9.153795712510128
outflow,1Cauchy,-8.670967938638123
outflow,1Cauchy,-7.282700409541992
outflow,1Cauchy,-5.377991481579349
outflow,1Cauchy,-19038.367465768653
inflow,1Normal,-658.7715115387738
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-59.65953642164248
outflow,1Cauchy,-39.96134014730025
outflow,1Cauchy,-13.388373096264669
outflow,1Cauchy,-12.492793587775857
outflow,1Cauchy,-8.704204617156792
outflow,1Cauchy,-7.866772654927701
outflow,1Cauchy,-7.069827777541911
outflow,1Cauchy,-5.7547615343093454
inflow,1Normal,-1707.8502380925158
inflow,1Normal,-1661.3875889304288
inflow,1Normal,-486.46447131688575
inflow,1Normal,-448.86583381205867
outflow,2Poisson,-170
outflow,1Cauchy,-19.913264043292283
outflow,1Cauchy,-10.084422692478062
outflow,1Cauchy,-9.65799487946554
outflow,1Cauchy,-9.37332583299954
outflow,1Cauchy,-8.908270490366284
outflow,1Cauchy,-8.612875244239984
outflow,1Cauchy,-7.115193465776281
outflow,1Cauchy,-5.649202061799446
inflow,1Normal,-1665.2519961858268
inflow,1Normal,-1521.8855492504758
inflow,1Normal,-1450.9147441976052
inflow,1Normal,-845.9811970727692
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-18.703354767777064
outflow,1Cauchy,-11.976663004705884
outflow,1Cauchy,-10.158063014996655
outflow,1Cauchy,-9.962546747181543
outflow,1Cauchy,-8.908634407093201
outflow,1Cauchy,-8.803271073527139
outflow,1Cauchy,-8.678517775271091
outflow,1Cauchy,-5.2473970573898985
inflow,1Normal,-3139.187723430701
inflow,1Normal,-1381.127800056192
inflow,1Normal,-783.235163560801
inflow,1Normal,-520.4896780226139
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-15.922946938853936
outflow,1Cauchy,-15.620734602145088
outflow,1Cauchy,-14.49292367574406
outflow,1Cauchy,-8.657384035590923
outflow,1Cauchy,-7.126645421261316
outflow,1Cauchy,-4.9084808379471845
inflow,1Normal,-2227.2377190369502
inflow,1Normal,-1459.7574856462018
inflow,1Normal,-302.44331890461706
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-25.33590440520608
outflow,1Cauchy,-25.087074142576128
outflow,1Cauchy,-19.50802086081755
outflow,1Cauchy,-14.54116813630322
outflow,1Cauchy,-9.280645503884754
outflow,1Cauchy,-8.90807285865457
outflow,1Cauchy,-8.86175037377496
outflow,1Cauchy,-8.265498372233996
inflow,1Normal,-2470.7510732858027
inflow,1Normal,-1919.4690931155499
inflow,1Normal,-856.7790419812322
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-21.421547153561797
outflow,1Cauchy,-10.75683205347956
outflow,1Cauchy,-10.60381163896194
outflow,1Cauchy,-10.420228955918605
outflow,1Cauchy,-9.06383574901728
outflow,1Cauchy,-8.315555445884034
outflow,1Cauchy,-8.300268175294127
outflow,1Cauchy,-7.68439353254232
inflow,1Normal,-2658.37649045173
inflow,1Normal,-1271.3853269421584
inflow,1Normal,-211.105665738922
inflow,1Normal,-196.93629211088927
outflow,1Cauchy,-48.60354378007415
outflow,1Cauchy,-21.28746714771139
outflow,1Cauchy,-12.900965474281815
outflow,1Cauchy,-11.436022321468402
outflow,1Cauchy,-11.420730413868439
outflow,1Cauchy,-9.748403371473641
outflow,1Cauchy,-7.618860393399953
outflow,1Cauchy,-0.5759477798813322
inflow,1Normal,-2256.8649029033386
inflow,1Normal,-1952.2258974198792
inflow,1Normal,-995.8064746944494
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-10.708095498944333
outflow,1Cauchy,-10.207796294334976
outflow,1Cauchy,-7.977571036017244
outflow,1Cauchy,-6.8917636631235855
outflow,1Cauchy,-6.551424372940785
outflow,1Cauchy,-6.3078561562116535
outflow,1Cauchy,-4.41672838555887
inflow,1Normal,-2038.9825477226452
inflow,1Normal,-1068.82438711507
inflow,1Normal,-197.59398356052776
outflow,1Cauchy,-17.780606922007262
outflow,1Cauchy,-13.785780521625883
outflow,1Cauchy,-13.61682007380407
outflow,1Cauchy,-10.631797966499004
outflow,1Cauchy,-10.30361232267565
outflow,1Cauchy,-9.856734732076994
outflow,1Cauchy,-9.831362610756202
outflow,1Cauchy,-9.48882691918512
inflow,1Normal,-1256.5509245609733
inflow,1Normal,-602.922896766896
inflow,1Normal,-512.5137152890854
inflow,1Normal,-432.1647924641855
inflow,1Normal,-284.8012316863279
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-98.18958390770956
outflow,1Cauchy,-64.02024151340709
outflow,1Cauchy,-19.661832119749313
outflow,1Cauchy,-13.692848201850875
outflow,1Cauchy,-13.069351886627938
outflow,1Cauchy,-11.596287650773322
outflow,1Cauchy,-10.69110595992874
outflow,1Cauchy,-9.086552467358887
outflow,1Cauchy,-7.891307644474502
inflow,1Normal,-1461.8417973398443
inflow,1Normal,-1078.4748247823952
inflow,1Normal,-292.20478413684106
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-153.699436868704
outflow,1Cauchy,-29.365038310564078
outflow,1Cauchy,-14.636125077627412
outflow,1Cauchy,-11.384936731872076
outflow,1Cauchy,-9.445355606799987
outflow,1Cauchy,-9.311719494305677
outflow,1Cauchy,-8.730490371274822
outflow,1Cauchy,-8.409587402169393
inflow,1Normal,-1505.8315065642023
inflow,1Normal,-1411.959137354774
inflow,1Normal,-798.3388037116129
inflow,1Normal,-256.7747560510494
inflow,1Normal,-200.19686262571312
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-17.23020752162794
outflow,1Cauchy,-10.991991921828545
outflow,1Cauchy,-9.69245972552199
outflow,1Cauchy,-8.013446275692273
outflow,1Cauchy,-6.558061548119284
outflow,1Cauchy,-5.864358283326891
outflow,1Cauchy,-4.5079979536657815
inflow,1Normal,-1204.2488149069636
inflow,1Normal,-706.9424237619018
inflow,1Normal,-213.4555793813945
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-149.61447589739726
outflow,1Cauchy,-44.36327306640187
outflow,1Cauchy,-10.835552319910839
outflow,1Cauchy,-10.149994013464273
outflow,1Cauchy,-9.35288424693833
outflow,1Cauchy,-9.26573046850601
outflow,1Cauchy,-9.225881571622663
outflow,1Cauchy,-8.378517493425266
outflow,1Cauchy,-3.2034851904695856
inflow,1Normal,-1814.3995390520465
inflow,1Normal,-1715.0320366591075
inflow,1Normal,-1470.5214744229884
inflow,1Normal,-894.7058495668244
inflow,1Normal,-541.3573792197838
outflow,2Poisson,-170
outflow,1Cauchy,-20.25424874957378
outflow,1Cauchy,-14.275270770369087
outflow,1Cauchy,-11.625771984259
outflow,1Cauchy,-10.332810656826503
outflow,1Cauchy,-9.208584191403817
outflow,1Cauchy,-8.1274383758286
outflow,1Cauchy,-4.927924282309408
inflow,1Normal,-3379.1956297224688
inflow,1Normal,-1470.307477503552
inflow,1Normal,-846.4343876227293
