Source Type,Distribution,Amount
inflow,1Normal,-1681.4105258249142
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-69.42792667408533
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-11.39514133669601
outflow,1Cauchy,-10.53054176989321
outflow,1Cauchy,-9.768595198284146
outflow,1Cauchy,-7.69735384652679
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,2Poisson,-170
outflow,1Cauchy,-10.154861748623201
outflow,1Cauchy,-9.933884163748468
outflow,1Cauchy,-9.419839861844757
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-832.8295133498578
inflow,1Normal,-769.6983577527565
inflow,1Normal,-663.3982164709166
outflow,1Cauchy,-33.06958422022416
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-10.542767944885874
outflow,1Cauchy,-10.295593536895492
outflow,1Cauchy,-9.911128344842165
inflow,1Normal,-2466.9298551898196
inflow,1Normal,-1542.9808469270363
inflow,1Normal,-442.18698531279193
outflow,1Cauchy,-136.5368266800564
outflow,1Cauchy,-13.657564708804353
outflow,1Cauchy,-12.719805576845221
outflow,1Cauchy,-11.11365678625746
outflow,1Cauchy,-8.95130182150217
inflow,1Normal,-2348.589737707544
inflow,1Normal,-1278.6504088592064
inflow,1Normal,-733.7544091083838
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-14.595320110340188
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-9.571208892110738
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-2258.6937802808775
inflow,1Normal,-1236.6449424418267
inflow,1Normal,-629.8419171314872
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-166.78817251228077
outflow,1Cauchy,-28.13613214917999
outflow,1Cauchy,-19.719620550179535
outflow,1Cauchy,-11.73484397529102
outflow,1Cauchy,-11.103937300311348
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-2101.0666031245755
inflow,1Normal,-2026.7993947465457
outflow,2Poisson,-340
outflow,2Poisson,-340
inflow,1Normal,-212.3363119533316
outflow,1Cauchy,-23.725933064880316
outflow,1Cauchy,-14.164768832849463
outflow,1Cauchy,-9.390961687153688
outflow,1Cauchy,-7.104799527169628
inflow,1Normal,-2448.2555142383276
inflow,1Normal,-899.8985785652937
inflow,1Normal,-90.86941966374837
outflow,1Cauchy,-11.944322996717814
outflow,1Cauchy,-11.251604507269017
outflow,1Cauchy,-10.66668711648948
outflow,1Cauchy,-9.768422700156256
outflow,1Cauchy,-5.756050992683267
inflow,1Normal,-1072.8595824092877
inflow,1Normal,-801.8677416610227
inflow,1Normal,-686.9691843590583
outflow,1Cauchy,-15.123795980109444
outflow,1Cauchy,-12.699711430002255
outflow,1Cauchy,-10.978273473679936
outflow,1Cauchy,-5.8905914081450055
inflow,1Normal,-1080.9739102223589
inflow,1Normal,-686.7126701722511
inflow,1Normal,-404.9958087093543
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-22.842736015956902
outflow,1Cauchy,-9.96587026850776
outflow,1Cauchy,-7.027815102718689
outflow,1Cauchy,-5.419203094914068
inflow,1Normal,-3848.1156206997157
inflow,1Normal,-1365.8747898285071
outflow,2Poisson,-170
outflow,1Cauchy,-17.90537881800229
outflow,1Cauchy,-14.947349653487478
outflow,1Cauchy,-9.000003771162028
outflow,1Cauchy,-7.584315510840677
outflow,1Cauchy,-2.7823360122856524
outflow,1Cauchy,-5784.945921481289
inflow,1Normal,-1258.0725891106
inflow,1Normal,-845.3478445686645
inflow,1Normal,-251.5336632021967
outflow,2Poisson,-170
outflow,1Cauchy,-15.934396438175504
outflow,1Cauchy,-12.628802724989534
outflow,1Cauchy,-11.258111560079938
