Source Type,Distribution,Amount
inflow,1Normal,-2051.3039398781475
outflow,2Poisson,-340
outflow,1Cauchy,-18.590639786217146
outflow,1Cauchy,-10.45770399900215
inflow,1Normal,-116.27522055414481
inflow,1Normal,-85.88218526206575
outflow,1Cauchy,-9.503534747657893
outflow,1Cauchy,-6.141517628839948
inflow,1Normal,-1405.905198191972
outflow,2Poisson,-170
outflow,1Cauchy,-10.942626222455365
outflow,1Cauchy,-9.576449671797679
inflow,1Normal,-649.8623317661678
outflow,1Cauchy,-10.366155086145184
outflow,1Cauchy,-8.621750661216609
inflow,1Normal,-1914.100018286075
outflow,1Cauchy,-39.179721126048705
outflow,1Cauchy,-10.044557404172709
inflow,1Normal,-1301.0535770998633
outflow,2Poisson,-170
inflow,1Normal,-18.09411875140494
outflow,1Cauchy,-10.45861179776961
inflow,1Normal,-1310.3591969274817
outflow,2Poisson,-170
outflow,1Cauchy,-10.317811763731335
outflow,1Cauchy,-9.786932566982268
inflow,1Normal,-367.4528984490088
outflow,1Cauchy,-11.442530053400477
outflow,1Cauchy,-10.5166944974166
inflow,1Normal,-2501.0163096775814
outflow,1Cauchy,-18.141264947226233
inflow,1Normal,-549.696149469867
inflow,1Normal,-200.05262247448564
outflow,1Cauchy,-10.000567253789033
inflow,1Normal,-1174.1712335747966
outflow,1Cauchy,-9.022521435393985
outflow,1Cauchy,-6.961582219478007
inflow,1Normal,-1693.2889768474074
outflow,2Poisson,-170
outflow,1Cauchy,-9.52537379606587
outflow,1Cauchy,-6.371772037897469
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-9.768595198284146
inflow,1Normal,-1160.9453942925281
outflow,1Cauchy,-55.09113451062884
outflow,1Cauchy,-7.839855918080821
inflow,1Normal,-738.3221209491104
inflow,1Normal,-208.8513556862228
outflow,2Poisson,-170
outflow,1Cauchy,-6.8597177496613995
outflow,1Cauchy,-5.4081049766276985
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-888.6508931987549
outflow,2Poisson,-170
outflow,1Cauchy,-11.761194553389636
outflow,1Cauchy,-11.280185593515288
inflow,1Normal,-1266.480440220894
outflow,2Poisson,-170
outflow,1Cauchy,-10.58836749825411
outflow,1Cauchy,-5.804858486062898
inflow,1Normal,-1145.0586614540516
outflow,2Poisson,-170
outflow,1Cauchy,-10.583595121854392
outflow,1Cauchy,-8.62906713874314
inflow,1Normal,-967.7944139970552
outflow,2Poisson,-340
outflow,1Cauchy,-25.242114653928052
inflow,1Normal,-2185.9769948354624
outflow,1Cauchy,-18.248888510361386
outflow,1Cauchy,-9.91886956366186
inflow,1Normal,-2382.552860502566
outflow,1Cauchy,-11.062783897401733
outflow,1Cauchy,-9.74666512542418
inflow,1Normal,-832.8295133498578
inflow,1Normal,-663.3982164709166
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-10.542767944885874
inflow,1Normal,-2127.1273488152424
inflow,1Normal,-939.8801237337686
outflow,1Cauchy,-11.560957568281403
outflow,1Cauchy,-2.055202358377189
inflow,1Normal,-1166.754910439635
inflow,1Normal,-157.03877001128745
outflow,1Cauchy,-15.126490591260566
outflow,1Cauchy,-9.2224700508535
inflow,1Normal,-2161.373436701419
outflow,2Poisson,-170
